Wall time,Step,Value
1650810757.145509,0,3.195711612701416
1650811147.320399,1,2.7457151412963867
1650811532.50379,2,2.507678270339966
1650811909.852933,3,1.9383820295333862
1650812295.174038,4,1.8857909440994263
1650812679.180809,5,1.7114596366882324
1650813064.598042,6,1.26398766040802
1650813456.956808,7,1.3500326871871948
1650813841.388001,8,1.0943429470062256
1650814220.277013,9,0.9849068522453308
1650814599.123802,10,0.8492766618728638
1650814978.182971,11,0.738824725151062
1650815365.393969,12,0.675464928150177
1650815760.442812,13,0.6418681740760803
1650816157.195714,14,0.5853711366653442
1650816545.380056,15,0.5674468278884888
1650816927.003955,16,0.5378655791282654
1650817315.775719,17,0.4937683045864105
1650817721.837578,18,0.49125152826309204
1650818112.583668,19,0.4570470154285431
1650818507.685892,20,0.44504302740097046
1650818896.507409,21,0.4185235798358917
1650819278.397261,22,0.395921915769577
1650819658.07743,23,0.3925062119960785
1650820037.767573,24,0.36861586570739746
1650820420.621776,25,0.35607823729515076
1650820801.439989,26,0.33338427543640137
1650821183.988192,27,0.32328370213508606
1650821572.719171,28,0.2985941469669342
1650821983.484776,29,0.29082319140434265
1650822365.519384,30,0.27803608775138855
1650822745.424606,31,0.2786262035369873
1650823125.66716,32,0.26230141520500183
1650823506.23983,33,0.25390467047691345
1650823891.852139,34,0.24821162223815918
1650824271.900025,35,0.23580197989940643
1650824677.406172,36,0.2175648957490921
1650825061.123919,37,0.20908457040786743
1650825443.308386,38,0.21426047384738922
1650825826.06727,39,0.20235541462898254
1650826208.081831,40,0.18624991178512573
1650826601.973814,41,0.18289342522621155
1650826989.028097,42,0.17428268492221832
1650827372.906447,43,0.17039725184440613
1650827754.496765,44,0.17568227648735046
1650828137.86342,45,0.1690189242362976
1650828523.663346,46,0.16189652681350708
1650828905.736773,47,0.1567959487438202
1650829289.934706,48,0.1520463079214096
1650829684.723999,49,0.14589260518550873
