Wall time,Step,Value
1650484869.859911,0,0.988857090473175
1650485173.882142,1,0.4669143557548523
1650485470.999537,2,0.38738298416137695
1650485775.809232,3,0.3310926854610443
1650486079.773779,4,0.34188494086265564
1650487173.700173,5,0.3360516130924225
1650487476.130241,6,0.2839260995388031
1650487780.069289,7,0.27761369943618774
1650488083.602684,8,0.22619396448135376
1650488380.169158,9,0.23906971514225006
1650488676.329605,10,0.20238138735294342
1650488972.476917,11,0.16716812551021576
1650489269.473227,12,0.18198417127132416
1650489565.578587,13,0.1235179528594017
1650489861.918486,14,0.13093851506710052
1650490158.372444,15,0.10196767002344131
1650490454.473828,16,0.1134098619222641
1650490750.855657,17,0.09169755131006241
1650491045.710756,18,0.07635973393917084
1650491341.62561,19,0.08158299326896667
1650491637.723631,20,0.07210295647382736
1650491933.343844,21,0.07211129367351532
1650492229.171553,22,0.052766893059015274
1650492525.072763,23,0.06530507653951645
1650492820.46738,24,0.05221913009881973
1650493116.25161,25,0.05884357541799545
1650493412.054429,26,0.04727707803249359
1650493708.181728,27,0.031428731977939606
1650494005.887625,28,0.04644882678985596
1650494303.30559,29,0.027777425944805145
1650494606.095008,30,0.0360453836619854
1650494906.349928,31,0.029259389266371727
1650495208.630993,32,0.03144226595759392
1650495514.797149,33,0.029325570911169052
1650495817.334312,34,0.01896497793495655
1650496120.049962,35,0.023577731102705002
1650496423.305587,36,0.013904491439461708
1650496727.13285,37,0.01612401381134987
1650497027.922763,38,0.018378186970949173
1650497339.381574,39,0.01449122279882431
1650497648.514844,40,0.013104540295898914
1650497947.775493,41,0.013447875156998634
1650498254.320115,42,0.009931898675858974
1650498560.514655,43,0.008746765553951263
1650498861.798663,44,0.0048532686196267605
1650499167.417293,45,0.007567028049379587
1650499473.277669,46,0.00914860237389803
1650499780.322557,47,0.010077528655529022
1650500085.908587,48,0.009374196641147137
1650500387.55,49,0.005614462308585644
